Hostname,CI ID,Serial Number,IP Address,Operating System,OS Version,CI Class,Support Group,Business Service,Environment,Site,Business Criticality,Assigned To,Install Status
NZAKLDC01,CI100083,748B4BBD0D,10.20.10.93,Windows Server,10.0.20348.2402,cmdb_ci_win_server,Infrastructure,Active Directory,Production,Auckland HQ,high,ben.kaur@example.com,Installed
NZAKLDC02,CI100084,8CD83389AC,10.20.10.94,Windows Server,10.0.20348.2402,cmdb_ci_win_server,Infrastructure,Active Directory,Production,Auckland HQ,high,ben.kaur@example.com,Installed
NZAKLFS01,CI100085,15901D09EB,10.20.10.95,Windows Server,10.0.17763.5936,cmdb_ci_win_server,Infrastructure,File Services,Production,Auckland HQ,high,ben.kaur@example.com,Installed
NZAKLSQL01,CI100086,5AA5B1454D,10.20.10.96,Windows Server,10.0.20348.2402,cmdb_ci_win_server,Application Support,Finance ERP,Production,Auckland HQ,high,chloe.andersen@example.com,Installed
NZAKLSQL02,CI100087,C64B4B7DB7,10.20.10.97,Windows Server,10.0.17763.5936,cmdb_ci_win_server,Application Support,Finance ERP,Production,Auckland HQ,high,chloe.andersen@example.com,Installed
NZWLGAPP01,CI100088,37277F5F40,10.20.10.98,Windows Server,10.0.20348.2402,cmdb_ci_win_server,Application Support,Intranet,Production,Wellington Office,high,chloe.andersen@example.com,Installed
NZWLGAPP02,CI100089,88E70AE1BA,10.20.10.99,Windows Server,10.0.20348.2402,cmdb_ci_win_server,Application Support,Intranet,Staging,Wellington Office,medium,chloe.andersen@example.com,Installed
NZAKLWEB01,CI100090,1967C52FFC,10.20.10.100,Ubuntu,22.04.4 LTS,cmdb_ci_linux_server,Cloud Platform,Customer Portal,Production,Auckland HQ,high,eleni.gallagher@example.com,Installed
NZAKLWEB02,CI100091,ED7D9F85DA,10.20.10.101,Ubuntu,22.04.4 LTS,cmdb_ci_linux_server,Cloud Platform,Customer Portal,Production,Auckland HQ,high,eleni.gallagher@example.com,Installed
NZAKLWEB03,CI100092,8C1807E9E9,10.20.10.102,Ubuntu,20.04.6 LTS,cmdb_ci_linux_server,Cloud Platform,Customer Portal,Staging,Auckland HQ,medium,eleni.gallagher@example.com,Installed
