Hostname,Environment (Arch),Application/Purpose (Arch),OS (Arch),Treatment Plan/Project (Arch),Timeframe (Arch),Controls (Arch),Inherent Risk (Arch),Residual Risk (Arch),JSM Match?,JSM Status,JSM OS,JSM Environment,JSM Location,JSM Last Scan Date,BigFix Detected?,BigFix OS,SNOW Match Key,SNOW Detected?,SNOW OS,State #,State Label,Environment Tier,RAG,Notes / Exceptions,Notes (Arch)
NZAKLAUTO01,Production,Autopoll\Autolink,Microsoft Windows 10,Autopoll / Autolink Decommission,FY26 Q3,Network Isolation,High,Medium,Y,In Service,Microsoft Windows 10,Production,Datacom Data Centre Orbit,0,N,,NZAKLAUTO01,N,,2,Planned,Critical,Amber,,
NZAKLAUTO02,Production,Autolink\Autopoll,Microsoft Windows 10,Autopoll / Autolink Decommission,FY26 Q3,Network Isolation,High,Medium,Y,In Service,Microsoft Windows 10,Production,Datacom Data Centre Orbit,0,N,,NZAKLAUTO02,N,,2,Planned,Critical,Amber,,
NZAKLAUTO03,Production,Autopoll\Autopoll Desktop,Microsoft Windows 10,Autopoll / Autolink Decommission,FY26 Q3,Network Isolation,High,Medium,Y,In Service,Microsoft Windows 10,Production,Datacom Data Centre Orbit,0,N,,NZAKLAUTO03,N,,2,Planned,Critical,Amber,,
NZAKLAGENTMS1,Production,Mulesoft - Production,Microsoft Windows Server 2003 Enterprise 32-bit,Integration Modernisation,FY27,Monitoring,Critical,Critical,Y,Decommissioned,Microsoft Windows Server 2003 Enterprise 32-bit,Non Functional Requirements,Datacom Data Centre Orbit,31/Mar/26,N,,NZAKLAGENTMS1,N,,1,Remediated,Critical,Green,"Env mismatch: JSM says 'Non Functional Requirements', Architecture says 'Production' - review",
NZAKLB2BAPPMS1,Production,B2B application,Microsoft Windows Server 2003 Enterprise 32-bit,Integration Modernisation,FY27,Monitoring,Critical,Critical,Y,In Service,Microsoft Windows Server 2003 Enterprise 32-bit,Production,Datacom Data Centre Orbit,29/May/25,N,,NZAKLB2BAPPMS1,N,,2,Planned,Critical,Amber,,
NZAKLSBYFTMS1,Production,SMP Application FTP Delivery Server,Microsoft Windows Server 2003 Standard 32-bit,SFTP Upgrade and Migration,FY26 Q3,Monitoring,High,High,Y,For Decommissioning,Microsoft Windows Server 2003 Standard 32-bit,Production,Bluecurrent Wellington,25/Mar/25,Y,Win2003 5.2.3790,NZAKLSBYFTMS1,Y,Windows Server 2003 Standard,1,Remediated,Critical,Green,,
NZAKLSBYFTMS1_DR,Disaster Recovery/Development,SMP Application FTP Delivery Server,Microsoft Windows Server 2003 Standard 32-bit,SFTP Upgrade and Migration,FY26 Q3,Monitoring,High,High,Y,In Service,Microsoft Windows Server 2003 Standard 32-bit,Disaster Recovery/Development,Bluecurrent Wellington,01/Jan/00,N,,NZAKLSBYFTMS1_DR,N,,2,Planned,Lower,Green,,
NZAKLSBYRQIMS1,Production,SMP Application FTP Delivery Server,Microsoft Windows Server 2003 Standard 32-bit,SFTP Upgrade and Migration,FY26 Q3,Monitoring,High,High,Y,In Service,Microsoft Windows Server 2003 Standard 32-bit,Production,Datacom Data Centre Wellington,25/Mar/25,Y,Win2003 5.2.3790,NZAKLSBYRQIMS1,N,,2,Planned,Critical,Amber,,
NZAKLSBYRQIMS1_DR,Disaster Recovery/Development,SMP Application FTP Delivery Server,Microsoft Windows Server 2003 Standard 32-bit,SFTP Upgrade and Migration,FY26 Q3,Monitoring,High,High,Y,In Service,Microsoft Windows Server 2003 Standard 32-bit,Disaster Recovery/Development,Bluecurrent Wellington,01/Jan/00,N,,NZAKLSBYRQIMS1_DR,N,,2,Planned,Lower,Green,,
NZAKLDTSMS2,Test,Data Services Test VM,Microsoft Windows Server 2008 R2 Standard,Modern Data Platform,FY27,Monitoring,High,High,Y,In Service,Microsoft Windows Server 2008 R2 Standard,Test,Datacom Data Centre Orbit,18/May/26,Y,Win2008R2 6.1.7601,NZAKLDTSMS2,Y,Windows Server 2008 R2 Standard,2,Planned,Lower,Green,,
